SubjID,Session,Cond_code,Sequencing,Feedback,Correct,Incorrect,Reamaining,ElapsedTime,Gender,Race,Level_Code,pre_scaled,post_scaled,Form_Order,EAP.sgp,EAP.cr,EAP.dt,EAP.eg,EAP.exp,EAP.ext,EAP.mod,EAP.rr,EAP.tab,EAP.vr,EAP.pic,P.sgp..H,P.sgp..M,P.sgp..L
S052,c01,adaptive_acc,Adaptive,Accuracy,20,14,29,-999,Female,8,Academic,44,78,1,1.7469999999999999,1.99,0.901,1.847,0.07800000000000007,1.99,0.7030000000000001,0.972,1.711,0.907,0.2529999999999999,0.747,0.252,0.001
S053,c01,adaptive_full,Adaptive,Full,12,51,0,2145,Female,2,Academic,45,39,2,9.999999999998899e-4,0.43900000000000006,0.42199999999999993,0.010000000000000009,0.004999999999999893,0.6040000000000001,0.4039999999999999,0.2490000000000001,0.2709999999999999,0.8300000000000001,0.15599999999999992,0,0.001,0.999
S054,c01,linear_full,Linear,Full,34,29,0,2131,Female,7,Academic,70,69,1,1.687,1.8820000000000001,0.8879999999999999,1.881,0.030000000000000027,1.995,1.286,0.119,1.944,1.016,0.33699999999999997,0.69,0.307,0.003
S055,c01,adaptive_acc,Adaptive,Accuracy,8,55,0,2656,Male,7,Academic,48,53,2,0,0.744,0.42199999999999993,0.010000000000000009,0.0029999999999998916,0.32400000000000007,0.016999999999999904,0.2450000000000001,0.06299999999999994,0.43700000000000006,0.030000000000000027,0,0,1
S056,c01,adaptive_full,Adaptive,Full,20,43,0,2009,Male,8,Academic,41,51,1,0.026000000000000023,1.0899999999999999,0.42999999999999994,0.010999999999999899,0.008999999999999897,1.556,0.040999999999999925,0.4990000000000001,0.4630000000000001,0.123,0.010999999999999899,0,0.026,0.974
S057,c01,linear_full,Linear,Full,25,28,10,-999,Male,7,Academic,48,67,2,1.139,1.6179999999999999,0.7609999999999999,0.22199999999999998,0.0129999999999999,1.981,0.972,0.9179999999999999,1.048,0.671,1.099,0.258,0.622,0.119
S058,c01,adaptive_acc,Adaptive,Accuracy,33,30,0,2688,Female,4,Academic,56,54,1,0.5720000000000001,1.843,0.607,0.040000000000000036,0.09899999999999998,1.962,0.7030000000000001,1.824,0.16599999999999993,0.41700000000000004,0.8560000000000001,0.005,0.562,0.433
S059,c01,adaptive_full,Adaptive,Full,20,37,6,-999,Female,6,Academic,45,53,2,0.052999999999999936,0.482,0.43900000000000006,0.02299999999999991,0.51,0.8180000000000001,0.6279999999999999,1.714,0.09299999999999997,1.334,0.03299999999999992,0,0.053,0.947
S060,c01,linear_full,Linear,Full,28,35,0,2576,Female,7,Academic,50,51,1,1.001,1.961,0.7410000000000001,0.06699999999999995,0.0040000000000000036,1.975,0.06899999999999995,0.8640000000000001,1.509,0.10499999999999998,0.03299999999999992,0.049,0.903,0.048
S061,c01,adaptive_acc,Adaptive,Accuracy,21,42,0,1892,Female,3,Academic,60,50,2,0.09699999999999998,0.518,0.45300000000000007,0.014999999999999902,0.020000000000000018,1.295,0.16599999999999993,0.8660000000000001,0.1120000000000001,0.32200000000000006,0.3799999999999999,0.001,0.096,0.903
