SubjID,Form_Order,PreACorr,PostBCorr,PreBCorr,PostACorr
S052,1,6,18,NA,NA
S053,2,NA,NA,7,4
S054,1,16,16,NA,NA
S055,2,NA,NA,7,9
S056,1,5,9,NA,NA
S057,2,NA,NA,7,15
S058,1,10,9,NA,NA
S059,2,NA,NA,7,10
S060,1,8,8,NA,NA
S061,2,NA,NA,11,8
S062,1,8,10,NA,NA
S063,1,8,10,NA,NA
S064,2,NA,NA,14,16
S065,1,7,13,NA,NA
S066,2,NA,NA,4,9
S067,1,9,7,NA,NA
S068,2,NA,NA,9,8
S074,1,12,12,NA,NA
S075,2,NA,NA,7,13
S076,1,9,8,NA,NA
S077,1,16,17,NA,NA
S078,1,10,9,NA,NA
S079,2,NA,NA,15,11
S080,2,NA,NA,6,7
S081,1,12,10,NA,NA
S082,2,NA,NA,10,4
S083,2,NA,NA,12,6
S084,1,11,7,NA,NA
S085,2,NA,NA,8,10
S086,2,NA,NA,12,14
S087,1,10,8,NA,NA
S088,2,NA,NA,8,11
S089,2,NA,NA,5,12
S090,1,10,9,NA,NA
S091,2,NA,NA,11,14
S097,1,12,10,NA,NA
S098,2,NA,NA,9,13
S099,1,5,9,NA,NA
S100,2,NA,NA,12,11
S101,1,11,7,NA,NA
S102,2,NA,NA,12,15
S103,1,13,18,NA,NA
S104,2,NA,NA,5,9
S105,1,8,10,NA,NA
S106,2,NA,NA,10,16
S107,1,8,6,NA,NA
S108,2,NA,NA,10,16
S109,1,8,9,NA,NA
S110,2,NA,NA,12,17
S111,1,10,9,NA,NA
S112,2,NA,NA,9,13
S113,1,6,13,NA,NA
S114,2,NA,NA,13,15
S119,1,12,12,NA,NA
S120,2,NA,NA,9,16
S121,1,15,19,NA,NA
S122,2,NA,NA,16,12
S123,1,10,16,NA,NA
S124,2,NA,NA,12,15
S125,1,8,11,NA,NA
S126,2,NA,NA,7,7
S127,1,13,11,NA,NA
S128,2,NA,NA,10,14
S129,1,19,20,NA,NA
S130,2,NA,NA,6,14
S131,1,12,18,NA,NA
S132,2,NA,NA,11,13
S133,1,8,10,NA,NA
S134,2,NA,NA,12,15
S135,1,10,11,NA,NA
S136,2,NA,NA,11,13
S140,1,4,8,NA,NA
S141,2,NA,NA,10,9
S142,1,8,10,NA,NA
S143,2,NA,NA,12,15
S144,1,14,16,NA,NA
S145,2,NA,NA,6,7
S146,1,10,11,NA,NA
S147,2,NA,NA,13,13
S148,1,8,13,NA,NA
S149,2,NA,NA,12,16
S150,1,9,16,NA,NA
S151,2,NA,NA,10,15
S152,1,17,11,NA,NA
S153,2,NA,NA,7,16
S154,1,10,15,NA,NA
S155,2,NA,NA,6,12
S156,1,14,16,NA,NA
S157,1,7,11,NA,NA
S158,2,NA,NA,11,14
S159,1,7,9,NA,NA
S160,2,NA,NA,7,10
S161,1,6,5,NA,NA
S162,2,NA,NA,8,11
S163,1,8,13,NA,NA
S164,2,NA,NA,9,9
S165,1,7,12,NA,NA
S166,2,NA,NA,5,11
S167,1,5,10,NA,NA
S168,2,NA,NA,4,8
S169,2,NA,NA,3,8
S170,2,NA,NA,8,9
S171,1,13,9,NA,NA
S177,1,3,6,NA,NA
S178,2,NA,NA,8,9
S179,1,6,6,NA,NA
S180,2,NA,NA,7,8
S181,1,10,7,NA,NA
S182,2,NA,NA,11,10
S183,1,7,11,NA,NA
S184,2,NA,NA,6,9
S186,2,NA,NA,7,5
S187,1,NA,NA,NA,NA
S188,2,NA,NA,NA,NA
S189,1,5,5,NA,NA
S194,1,5,8,NA,NA
S195,2,NA,NA,8,6
S196,1,3,6,NA,NA
S197,2,NA,NA,3,6
S198,1,6,9,NA,NA
S199,2,NA,NA,8,7
S200,1,6,7,NA,NA
S201,2,NA,NA,3,5
S202,1,4,5,NA,NA
S203,2,NA,NA,3,2
S204,1,9,11,NA,NA
S208,1,7,6,NA,NA
S209,2,NA,NA,8,11
S210,1,8,10,NA,NA
S211,2,NA,NA,5,7
S212,1,11,11,NA,NA
S213,2,NA,NA,6,10
S214,1,8,11,NA,NA
S215,2,NA,NA,15,15
S216,1,13,17,NA,NA
S217,2,NA,NA,9,11
S218,1,12,15,NA,NA
S219,2,NA,NA,14,16
S220,1,14,14,NA,NA
S221,2,NA,NA,11,14
S222,1,5,4,NA,NA
S223,2,NA,NA,10,12
S228,1,7,8,NA,NA
S229,2,NA,NA,9,12
S230,1,6,14,NA,NA
S231,2,NA,NA,10,17
S232,1,6,15,NA,NA
S233,2,NA,NA,10,12
S234,1,8,7,NA,NA
S235,2,NA,NA,9,12
S236,1,11,7,NA,NA
S237,2,NA,NA,6,14
S238,1,9,11,NA,NA
S239,2,NA,NA,9,10
S240,1,9,11,NA,NA
S241,2,NA,NA,0,9
S242,1,6,9,NA,NA
S243,2,NA,NA,11,13
S249,1,5,9,NA,NA
S250,2,NA,NA,10,9
S251,1,6,8,NA,NA
S252,2,NA,NA,8,7
S253,1,10,12,NA,NA
S254,2,NA,NA,14,17
S255,1,8,11,NA,NA
S256,2,NA,NA,4,4
S257,1,12,11,NA,NA
S258,2,NA,NA,10,10
S259,1,12,19,NA,NA
S260,2,NA,NA,12,13
S261,1,9,6,NA,NA
S262,2,NA,NA,9,10
S263,1,11,9,NA,NA
S269,1,3,4,NA,NA
S270,2,NA,NA,0,4
S271,1,2,3,NA,NA
S272,2,NA,NA,1,7
S273,1,2,4,NA,NA
S274,2,NA,NA,3,5
S275,1,0,2,NA,NA
S276,2,NA,NA,3,5
S277,1,4,9,NA,NA
S278,2,NA,NA,8,7
S279,1,0,6,NA,NA
S280,2,NA,NA,1,7
S281,1,2,7,NA,NA
S282,2,NA,NA,2,4
S283,1,5,8,NA,NA
S284,2,NA,NA,3,4
S285,1,9,6,NA,NA
S291,1,7,2,NA,NA
S292,2,NA,NA,4,8
S293,1,6,4,NA,NA
S294,2,NA,NA,10,9
S295,1,6,8,NA,NA
S296,2,NA,NA,7,4
S297,1,6,8,NA,NA
S298,2,NA,NA,7,9
S299,1,8,2,NA,NA
S300,2,NA,NA,9,5
S301,1,9,7,NA,NA
S302,2,NA,NA,7,8
S303,1,6,12,NA,NA
S304,2,NA,NA,4,11
S305,1,10,11,NA,NA
S306,2,NA,NA,9,10
S307,1,6,12,NA,NA
S308,2,NA,NA,6,5
S315,1,10,4,NA,NA
S316,2,NA,NA,6,12
S317,1,7,11,NA,NA
S318,2,NA,NA,7,9
S319,1,6,7,NA,NA
S320,2,NA,NA,8,10
S323,1,9,15,NA,NA
S324,2,NA,NA,7,8
